threshold,size,dice
0.65,16000,0.7573136022800235
0.65,18000,0.7570617308363243
0.7,14000,0.7557301588843603
0.7,16000,0.7554364317398744
0.6,18000,0.7543790529325325
0.65,14000,0.7541323608753638
0.7,12000,0.7532423024017418
0.45,18000,0.7530968021235037
0.7,18000,0.7530703070036814
0.75,12000,0.7523898718418234
0.55,16000,0.7516338659711047
0.5,16000,0.7515686969700679
0.55,14000,0.7512949204434436
0.5,18000,0.7512471976262706
0.6,16000,0.7511289866400018
0.55,18000,0.750580607154517
0.35,16000,0.7503722410217706
0.6,12000,0.7503349506498546
0.75,14000,0.7499111146727709
0.35,14000,0.7498198954495716
0.75,16000,0.7491434719539629
0.35,18000,0.7489731969105203
0.75,18000,0.7486669089125081
0.4,18000,0.7484761853600881
0.65,12000,0.7482858309758538
0.55,12000,0.7482025124201699
0.4,12000,0.7480964833572125
0.35,12000,0.7480820344543508
0.45,12000,0.7478849171013696
0.4,14000,0.7475430010339102
0.4,16000,0.7475430001129137
0.6,14000,0.7473814128411882
0.5,14000,0.7473451685238917
0.45,16000,0.7469910866115126
0.5,12000,0.7452077023325737
0.45,14000,0.7450542362378445
