threshold,size,dice
0.35,12000,0.5927249985695254
0.45,12000,0.5927249985695254
0.6,12000,0.5927249985695254
0.55,12000,0.5927249985695254
0.5,12000,0.5927249985695254
0.4,12000,0.5927249985695254
0.65,12000,0.5927193189732917
0.7,12000,0.5919166040059853
0.4,14000,0.5912757014612527
0.35,14000,0.5912757014612527
0.45,14000,0.5912757014612527
0.6,14000,0.5912757014612527
0.5,14000,0.5912757014612527
0.55,14000,0.5912757014612527
0.65,14000,0.591270170793901
0.7,14000,0.5912694181738098
0.7,16000,0.5912653609926606
0.55,18000,0.5912256385856235
0.6,18000,0.5912256385856235
0.35,18000,0.5912256385856235
0.5,18000,0.5912256385856235
0.45,18000,0.5912256385856235
0.4,18000,0.5912256385856235
0.65,18000,0.5912203874879713
0.55,16000,0.5909066282079141
0.6,16000,0.5909066282079141
0.5,16000,0.5909066282079141
0.45,16000,0.5909066282079141
0.4,16000,0.5909066282079141
0.35,16000,0.5909066282079141
0.65,16000,0.590901610485155
0.7,18000,0.5895534718154353
0.75,12000,0.5894981625556207
0.75,14000,0.5893642891600911
0.75,16000,0.5872317482336998
0.75,18000,0.5851387494975085
