threshold,size,dice
0.65,16000,0.616858790910835
0.6,18000,0.61647625134915
0.6,17000,0.6163168071086358
0.65,15000,0.6160618754795809
0.65,17000,0.6160307120524704
0.55,13000,0.6157680549409851
0.65,14000,0.6155251402807511
0.6,16000,0.6154502478020123
0.65,13000,0.6153630594133934
0.6,15000,0.6153602557311942
0.65,18000,0.6149200735620363
0.7,12000,0.6147458439757398
0.55,18000,0.6143365316327118
0.45,15000,0.6137703016636641
0.7,13000,0.613726504825748
0.55,14000,0.613710283150069
0.7,14000,0.6135699267657363
0.45,16000,0.6134541548883924
0.45,18000,0.6132210694192584
0.65,12000,0.613146914592245
0.55,17000,0.6131282342940215
0.7,16000,0.612924144958076
0.5,18000,0.6128767451453069
0.6,14000,0.6128603727073424
0.5,14000,0.6126706951840557
0.4,16000,0.6126670536521559
0.7,15000,0.6124887109113268
0.5,15000,0.612428771519008
0.6,12000,0.6123897608142945
0.55,15000,0.6123465440940234
0.4,17000,0.6123129476354388
0.7,17000,0.61210669770681
0.55,16000,0.6120775263991365
0.55,12000,0.612032493013155
0.5,17000,0.6120004589582684
0.4,15000,0.6119296986524531
0.6,13000,0.6116905543865924
0.4,18000,0.6114230366459339
0.7,18000,0.6113859734044882
0.5,16000,0.6111603898953551
0.5,13000,0.610740014041686
0.45,17000,0.6107031613306344
0.75,12000,0.6103637981755304
0.45,14000,0.6101041028591789
0.45,13000,0.6100012886941335
0.4,14000,0.6095994094624541
0.45,12000,0.6095772096266877
0.5,12000,0.6089992302279157
0.75,13000,0.6077181332377091
0.75,14000,0.6067657765120157
0.75,15000,0.6063948048518062
0.75,17000,0.60608169119184
0.75,16000,0.6050633056457309
0.4,13000,0.6047719601038747
0.75,18000,0.6038940320520362
0.4,12000,0.6032894928915021
