threshold,size,dice
0.35,16000,0.6222778164680038
0.35,15000,0.6204637370023969
0.45,15000,0.6199477225065987
0.45,16000,0.6198807575820279
0.35,17000,0.6196231392631918
0.45,18000,0.6194518480292548
0.45,19000,0.6187263439104935
0.4,17000,0.6179300551251218
0.4,18000,0.6176789817397154
0.35,18000,0.6170834258603705
0.45,17000,0.6168704006290366
0.4,15000,0.6164623550720121
0.35,19000,0.6164050318311535
0.4,16000,0.6158664030375098
0.5,16000,0.6156619921891682
0.5,15000,0.6153595723890621
0.5,18000,0.6151566771229949
0.5,17000,0.6148494764266643
0.5,19000,0.614822750574405
0.55,18000,0.6138261253746701
0.4,19000,0.6135959392009984
0.55,16000,0.6128364500028716
0.55,15000,0.6124972923676985
0.55,17000,0.6120526910443541
0.55,19000,0.6117057437779535
0.6,16000,0.6108249768866444
0.6,18000,0.6101741969699489
0.6,15000,0.6096350272935618
0.6,19000,0.609250947400902
0.6,17000,0.6092464680860894
0.65,16000,0.6084648287133994
0.65,15000,0.6078805665821367
0.65,17000,0.606652887511089
0.65,18000,0.6048111183895816
0.65,19000,0.6039578189859545
0.7,18000,0.6024118144763152
0.7,15000,0.6022496618734937
0.7,19000,0.6020358937104837
0.7,16000,0.6011387930728528
0.7,17000,0.6003982208763191
